0.002,0.003,0.003,0.002,0.01,0.01,0.009,0.009,0.017,0.006
0.02,0.022,0.021,0.024,0.017,0.012,0.02,0.017,0.004,0.014
0.348,0.401,0.263,0.713,0.57,0.586,0.475,0,0.284,0.411
0,0.002,0.005,0.004,0.008,0.003,0.004,0.002,0.001,0.001
19.6,20,29.2,25,18.4,20.7,29.9,17,24.6,50.672
15.1,22.5,0,16.6,15.8,16.2,15,15.5,15.7,0
66,15.8,61.3,62,63.8,0,63,62.2,62.9,14.646
243,248.1,225.7,222,197.5,248.8,206,213.4,190.8,148.7
2.3,62.3,1.7,0.7,1.1,1.1,1.7,1.6,0.5,0
